"OCL11","SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name and p.ownedElements->forAll(class | e.entities->exists(entity | entity.name = class.name and class.ownedProperty->forAll(prop | prop.complexType.oclIsUndefined() implies entity.features-> select(f|f.oclIsTypeOf(TrgAttribute)) -> exists(f | f.name = prop.name))))))"
"Buggy Rule","Rule","Mountford","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Kulcynski2","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Zoltar","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Ochiai","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking"
"Buggy Rule","Rule","Mountford","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Kulcynski2","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Zoltar","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Ochiai","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking"
"0","WeakReferences","0.2","5","4","0.25","5","0.7","5","0.21875","5","0.6153846153846154","6","5","0.25","6","0.7","6","0.21875","6","0.23076923076923078","6","5","0.25","6","0.7","6","0.21875","6","0.48038446141526137","6","5","0.25","6","0.7","6","0.21875","6"
"0","References","0.2857142857142857","3","2","0.32142857142857145","3","0.75","3","0.28125","3","0.7307692307692308","3","2","0.32142857142857145","3","0.75","3","0.28125","3","0.46153846153846156","3","2","0.32142857142857145","3","0.75","3","0.28125","3","0.6793662204867574","3","2","0.32142857142857145","3","0.75","3","0.28125","3"
"1","Attributes","1.0","1","1","0.32142857142857145","1","0.9","2","0.3","1","1.0","1","1","0.32142857142857145","1","0.9","2","0.3","1","1.0","1","1","0.32142857142857145","1","0.9","2","0.3","1","1.0","1","1","0.32142857142857145","1","0.9","2","0.3","1"
"0","Class","0.125","6","5","0.42857142857142855","6","1.0","6","0.42857142857142855","6","0.7241379310344828","4","3","0.42857142857142855","4","1.0","4","0.42857142857142855","4","0.4482758620689655","4","3","0.42857142857142855","4","1.0","4","0.42857142857142855","4","0.6695340634119862","4","3","0.42857142857142855","4","1.0","4","0.42857142857142855","4"
"0","Package","0.022988505747126436","7","6","0.14285714285714285","8","0.3333333333333333","8","0.1111111111111111","8","0.565","7","6","0.14285714285714285","8","0.3333333333333333","8","0.1111111111111111","8","0.13","7","6","0.14285714285714285","8","0.3333333333333333","8","0.1111111111111111","8","0.36055512754639896","7","6","0.14285714285714285","8","0.3333333333333333","8","0.1111111111111111","8"
"0","NamedElement","0.022988505747126436","7","6","0.2857142857142857","7","1.0","7","0.2857142857142857","7","0.565","7","6","0.2857142857142857","7","1.0","7","0.2857142857142857","7","0.13","7","6","0.2857142857142857","7","1.0","7","0.2857142857142857","7","0.36055512754639896","7","6","0.2857142857142857","7","1.0","7","0.2857142857142857","7"
"0","Property","1.0","1","1","0.2857142857142857","2","1.0","1","0.2857142857142857","2","1.0","1","1","0.2857142857142857","2","1.0","1","0.2857142857142857","2","1.0","1","1","0.2857142857142857","2","1.0","1","0.2857142857142857","2","1.0","1","1","0.2857142857142857","2","1.0","1","0.2857142857142857","2"
"0","StrongReferences","0.2222222222222222","4","3","0.25","4","0.7","4","0.21875","4","0.6538461538461539","5","4","0.25","5","0.7","5","0.21875","5","0.3076923076923077","5","4","0.25","5","0.7","5","0.21875","5","0.5547001962252291","5","4","0.25","5","0.7","5","0.21875","5"
" ","EXAM-BC"," ","0.125","0.125"," ","0.125"," ","0.25"," ","0.125"," ","0.125","0.125"," ","0.125"," ","0.25"," ","0.125"," ","0.125","0.125"," ","0.125"," ","0.25"," ","0.125"," ","0.125","0.125"," ","0.125"," ","0.25"," ","0.125"
" ","EXAM-WC"," ","0.25","0.25"," ","0.125"," ","0.25"," ","0.125"," ","0.25","0.25"," ","0.125"," ","0.25"," ","0.125"," ","0.25","0.25"," ","0.125"," ","0.25"," ","0.125"," ","0.25","0.25"," ","0.125"," ","0.25"," ","0.125"
" ","EXAM-AVG"," ","0.1875","0.1875"," ","0.125"," ","0.25"," ","0.125"," ","0.1875","0.1875"," ","0.125"," ","0.25"," ","0.125"," ","0.1875","0.1875"," ","0.125"," ","0.25"," ","0.125"," ","0.1875","0.1875"," ","0.125"," ","0.25"," ","0.125"
