"OCL10","SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name and p.ownedElements->forAll(class | e.entities->exists(entity | entity.name = class.name and class.ownedProperty->forAll(prop | (not prop.complexType.oclIsUndefined() and prop.isContainment) implies entity.features-> select(f|f.oclIsTypeOf(TrgStrongReference)) -> exists(f | f.name = prop.name))))))"
"Buggy Rule","Rule","Mountford","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Kulcynski2","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Zoltar","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Ochiai","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking"
" ","EXAM-AVG"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"
"OCL11","SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name and p.ownedElements->forAll(class | e.entities->exists(entity | entity.name = class.name and class.ownedProperty->forAll(prop | prop.complexType.oclIsUndefined() implies entity.features-> select(f|f.oclIsTypeOf(TrgAttribute)) -> exists(f | f.name = prop.name))))))"
"Buggy Rule","Rule","Mountford","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Kulcynski2","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Zoltar","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Ochiai","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking"
"0","WeakReferences","0.07692307692307693","6","6","0.6071428571428571","6","0.5666666666666667","6","0.40476190476190477","6","0.5517241379310345","8","8","0.6071428571428571","8","0.5666666666666667","8","0.40476190476190477","8","0.10344827586206896","8","8","0.6071428571428571","8","0.5666666666666667","8","0.40476190476190477","8","0.3216337604513384","8","8","0.6071428571428571","8","0.5666666666666667","8","0.40476190476190477","8"
"0","References","0.08695652173913043","4","4","0.6071428571428571","4","0.7083333333333334","4","0.4722222222222222","4","0.603448275862069","6","6","0.6071428571428571","6","0.7083333333333334","6","0.4722222222222222","6","0.20689655172413793","6","6","0.6071428571428571","6","0.7083333333333334","6","0.4722222222222222","6","0.454858826147342","6","6","0.6071428571428571","6","0.7083333333333334","6","0.4722222222222222","6"
"0","Attributes","0.125","2","2","0.7142857142857143","2","0.7692307692307693","3","0.5882352941176471","2","0.7241379310344828","2","2","0.7142857142857143","2","0.7692307692307693","3","0.5882352941176471","2","0.4482758620689655","2","2","0.7142857142857143","2","0.7692307692307693","3","0.5882352941176471","2","0.6695340634119862","2","2","0.7142857142857143","2","0.7692307692307693","3","0.5882352941176471","2"
"1","Class","1.0","1","1","0.42857142857142855","1","0.75","1","0.375","1","1.0","1","1","0.42857142857142855","1","0.75","1","0.375","1","1.0","1","1","0.42857142857142855","1","0.75","1","0.375","1","1.0","1","1","0.42857142857142855","1","0.75","1","0.375","1"
"1","Package","0.028169014084507043","7","7","0.2857142857142857","7","0.5","8","0.2222222222222222","8","0.645","4","4","0.2857142857142857","4","0.5","5","0.2222222222222222","5","0.29","4","4","0.2857142857142857","4","0.5","5","0.2222222222222222","5","0.5385164807134504","4","4","0.2857142857142857","4","0.5","5","0.2222222222222222","5"
"0","NamedElement","0.028169014084507043","7","7","0.2857142857142857","7","1.0","7","0.2857142857142857","7","0.645","4","4","0.2857142857142857","4","1.0","4","0.2857142857142857","4","0.29","4","4","0.2857142857142857","4","1.0","4","0.2857142857142857","4","0.5385164807134504","4","4","0.2857142857142857","4","1.0","4","0.2857142857142857","4"
"0","Property","0.125","2","2","0.5357142857142857","3","0.9375","2","0.5","3","0.7241379310344828","2","2","0.5357142857142857","3","0.9375","2","0.5","3","0.4482758620689655","2","2","0.5357142857142857","3","0.9375","2","0.5","3","0.6695340634119862","2","2","0.5357142857142857","3","0.9375","2","0.5","3"
"0","StrongReferences","0.08","5","5","0.6071428571428571","5","0.5666666666666667","5","0.40476190476190477","5","0.5689655172413793","7","7","0.6071428571428571","7","0.5666666666666667","7","0.40476190476190477","7","0.13793103448275862","7","7","0.6071428571428571","7","0.5666666666666667","7","0.40476190476190477","7","0.3713906763541037","7","7","0.6071428571428571","7","0.5666666666666667","7","0.40476190476190477","7"
" ","EXAM-BC"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"
" ","EXAM-WC"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"
" ","EXAM-AVG"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"
"OCL12","SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name and p.ownedElements->forAll(class | e.entities->exists(entity | entity.name = class.name and class.ownedProperty->forAll(prop | prop.complexType.oclIsUndefined() implies entity.features-> exists(f | TrgAttribute.allInstances()-> exists(a | a=f and a.type = if prop.primitiveType.oclIsUndefined() then 'NoType' else prop.primitiveType endif)))))))        "
"Buggy Rule","Rule","Mountford","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Kulcynski2","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Zoltar","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Ochiai","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking"
"0","WeakReferences","0.07692307692307693","6","6","0.5","6","0.3333333333333333","6","0.25","6","0.5517241379310345","8","8","0.5","8","0.3333333333333333","8","0.25","8","0.10344827586206896","8","8","0.5","8","0.3333333333333333","8","0.25","8","0.3216337604513384","8","8","0.5","8","0.3333333333333333","8","0.25","8"
"0","References","0.08695652173913043","4","4","0.5","4","0.4166666666666667","4","0.29411764705882354","4","0.603448275862069","6","6","0.5","6","0.4166666666666667","6","0.29411764705882354","6","0.20689655172413793","6","6","0.5","6","0.4166666666666667","6","0.29411764705882354","6","0.454858826147342","6","6","0.5","6","0.4166666666666667","6","0.29411764705882354","6"
"0","Attributes","0.125","2","2","0.8","2","0.6153846153846154","2","0.5333333333333333","2","0.7241379310344828","2","2","0.8","2","0.6153846153846154","2","0.5333333333333333","2","0.4482758620689655","2","2","0.8","2","0.6153846153846154","2","0.5333333333333333","2","0.6695340634119862","2","2","0.8","2","0.6153846153846154","2","0.5333333333333333","2"
"1","Class","1.0","1","1","0.3","1","0.375","1","0.2","1","1.0","1","1","0.3","1","0.375","1","0.2","1","1.0","1","1","0.3","1","0.375","1","0.2","1","1.0","1","1","0.3","1","0.375","1","0.2","1"
"1","Package","0.028169014084507043","7","7","0.2","7","0.25","8","0.125","8","0.645","4","4","0.2","4","0.25","5","0.125","5","0.29","4","4","0.2","4","0.25","5","0.125","5","0.5385164807134504","4","4","0.2","4","0.25","5","0.125","5"
"0","NamedElement","0.028169014084507043","7","7","0.2","7","0.5","7","0.16666666666666666","7","0.645","4","4","0.2","4","0.5","4","0.16666666666666666","4","0.29","4","4","0.2","4","0.5","4","0.16666666666666666","4","0.5385164807134504","4","4","0.2","4","0.5","4","0.16666666666666666","4"
"0","Property","0.125","2","2","0.4","3","0.5","3","0.2857142857142857","3","0.7241379310344828","2","2","0.4","3","0.5","3","0.2857142857142857","3","0.4482758620689655","2","2","0.4","3","0.5","3","0.2857142857142857","3","0.6695340634119862","2","2","0.4","3","0.5","3","0.2857142857142857","3"
"0","StrongReferences","0.08","5","5","0.5","5","0.3333333333333333","5","0.25","5","0.5689655172413793","7","7","0.5","7","0.3333333333333333","7","0.25","7","0.13793103448275862","7","7","0.5","7","0.3333333333333333","7","0.25","7","0.3713906763541037","7","7","0.5","7","0.3333333333333333","7","0.25","7"
" ","EXAM-BC"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"
" ","EXAM-WC"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"
" ","EXAM-AVG"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"
"OCL2","SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name and p.ownedElements->forAll(class | e.entities->exists(entity | entity.name = class.name))))"
"Buggy Rule","Rule","Mountford","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Kulcynski2","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Zoltar","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Ochiai","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking"
"0","WeakReferences","0.07692307692307693","6","6","0.36363636363636365","6","0.26666666666666666","6","0.18181818181818182","6","0.5517241379310345","8","8","0.36363636363636365","8","0.26666666666666666","8","0.18181818181818182","8","0.10344827586206896","8","8","0.36363636363636365","8","0.26666666666666666","8","0.18181818181818182","8","0.3216337604513384","8","8","0.36363636363636365","8","0.26666666666666666","8","0.18181818181818182","8"
"0","References","0.08695652173913043","4","4","0.36363636363636365","4","0.3333333333333333","4","0.21052631578947367","4","0.603448275862069","6","6","0.36363636363636365","6","0.3333333333333333","6","0.21052631578947367","6","0.20689655172413793","6","6","0.36363636363636365","6","0.3333333333333333","6","0.21052631578947367","6","0.454858826147342","6","6","0.36363636363636365","6","0.3333333333333333","6","0.21052631578947367","6"
"0","Attributes","0.125","2","2","0.36363636363636365","2","0.3076923076923077","3","0.2","3","0.7241379310344828","2","2","0.36363636363636365","2","0.3076923076923077","3","0.2","3","0.4482758620689655","2","2","0.36363636363636365","2","0.3076923076923077","3","0.2","3","0.6695340634119862","2","2","0.36363636363636365","2","0.3076923076923077","3","0.2","3"
"1","Class","1.0","1","1","0.7272727272727273","1","1.0","1","0.7272727272727273","1","1.0","1","1","0.7272727272727273","1","1.0","1","0.7272727272727273","1","1.0","1","1","0.7272727272727273","1","1.0","1","0.7272727272727273","1","1.0","1","1","0.7272727272727273","1","1.0","1","0.7272727272727273","1"
"1","Package","0.028169014084507043","7","7","0.45454545454545453","7","0.625","8","0.35714285714285715","8","0.645","4","4","0.45454545454545453","4","0.625","5","0.35714285714285715","5","0.29","4","4","0.45454545454545453","4","0.625","5","0.35714285714285715","5","0.5385164807134504","4","4","0.45454545454545453","4","0.625","5","0.35714285714285715","5"
"0","NamedElement","0.028169014084507043","7","7","0.36363636363636365","8","1.0","7","0.36363636363636365","7","0.645","4","4","0.36363636363636365","5","1.0","4","0.36363636363636365","4","0.29","4","4","0.36363636363636365","5","1.0","4","0.36363636363636365","4","0.5385164807134504","4","4","0.36363636363636365","5","1.0","4","0.36363636363636365","4"
"0","Property","0.125","2","2","0.36363636363636365","2","0.5","2","0.26666666666666666","2","0.7241379310344828","2","2","0.36363636363636365","2","0.5","2","0.26666666666666666","2","0.4482758620689655","2","2","0.36363636363636365","2","0.5","2","0.26666666666666666","2","0.6695340634119862","2","2","0.36363636363636365","2","0.5","2","0.26666666666666666","2"
"0","StrongReferences","0.08","5","5","0.36363636363636365","5","0.26666666666666666","5","0.18181818181818182","5","0.5689655172413793","7","7","0.36363636363636365","7","0.26666666666666666","7","0.18181818181818182","7","0.13793103448275862","7","7","0.36363636363636365","7","0.26666666666666666","7","0.18181818181818182","7","0.3713906763541037","7","7","0.36363636363636365","7","0.26666666666666666","7","0.18181818181818182","7"
" ","EXAM-BC"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"
" ","EXAM-WC"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"
" ","EXAM-AVG"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"
"OCL3","SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name and p.ownedElements->forAll(class | e.entities->exists(entity | entity.name = class.name and class.ownedProperty->forAll(prop | entity.features->exists(f | f.name = prop.name))))))"
"Buggy Rule","Rule","Mountford","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Kulcynski2","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Zoltar","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Ochiai","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking"
"0","WeakReferences","0.07692307692307693","6","6","0.6666666666666666","6","0.5333333333333333","6","0.42105263157894735","6","0.5517241379310345","8","8","0.6666666666666666","8","0.5333333333333333","8","0.42105263157894735","8","0.10344827586206896","8","8","0.6666666666666666","8","0.5333333333333333","8","0.42105263157894735","8","0.3216337604513384","8","8","0.6666666666666666","8","0.5333333333333333","8","0.42105263157894735","8"
"0","References","0.08695652173913043","4","4","0.6666666666666666","4","0.6666666666666666","4","0.5","4","0.603448275862069","6","6","0.6666666666666666","6","0.6666666666666666","6","0.5","6","0.20689655172413793","6","6","0.6666666666666666","6","0.6666666666666666","6","0.5","6","0.454858826147342","6","6","0.6666666666666666","6","0.6666666666666666","6","0.5","6"
"0","Attributes","0.125","2","2","0.6666666666666666","2","0.6153846153846154","3","0.47058823529411764","3","0.7241379310344828","2","2","0.6666666666666666","2","0.6153846153846154","3","0.47058823529411764","3","0.4482758620689655","2","2","0.6666666666666666","2","0.6153846153846154","3","0.47058823529411764","3","0.6695340634119862","2","2","0.6666666666666666","2","0.6153846153846154","3","0.47058823529411764","3"
"1","Class","1.0","1","1","0.5","1","0.75","1","0.42857142857142855","1","1.0","1","1","0.5","1","0.75","1","0.42857142857142855","1","1.0","1","1","0.5","1","0.75","1","0.42857142857142855","1","1.0","1","1","0.5","1","0.75","1","0.42857142857142855","1"
"1","Package","0.028169014084507043","7","7","0.3333333333333333","7","0.5","8","0.25","8","0.645","4","4","0.3333333333333333","4","0.5","5","0.25","5","0.29","4","4","0.3333333333333333","4","0.5","5","0.25","5","0.5385164807134504","4","4","0.3333333333333333","4","0.5","5","0.25","5"
"0","NamedElement","0.028169014084507043","7","7","0.3333333333333333","7","1.0","7","0.3333333333333333","7","0.645","4","4","0.3333333333333333","4","1.0","4","0.3333333333333333","4","0.29","4","4","0.3333333333333333","4","1.0","4","0.3333333333333333","4","0.5385164807134504","4","4","0.3333333333333333","4","1.0","4","0.3333333333333333","4"
"0","Property","0.125","2","2","0.6666666666666666","2","1.0","2","0.6666666666666666","2","0.7241379310344828","2","2","0.6666666666666666","2","1.0","2","0.6666666666666666","2","0.4482758620689655","2","2","0.6666666666666666","2","1.0","2","0.6666666666666666","2","0.6695340634119862","2","2","0.6666666666666666","2","1.0","2","0.6666666666666666","2"
"0","StrongReferences","0.08","5","5","0.6666666666666666","5","0.5333333333333333","5","0.42105263157894735","5","0.5689655172413793","7","7","0.6666666666666666","7","0.5333333333333333","7","0.42105263157894735","7","0.13793103448275862","7","7","0.6666666666666666","7","0.5333333333333333","7","0.42105263157894735","7","0.3713906763541037","7","7","0.6666666666666666","7","0.5333333333333333","7","0.42105263157894735","7"
" ","EXAM-BC"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"
" ","EXAM-WC"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"
" ","EXAM-AVG"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"
"OCL8","SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name and p.ownedElements->forAll(class | e.entities->exists(entity | entity.name = class.name and class.ownedProperty->forAll(prop | (prop.complexType.oclIsUndefined()) implies entity.features-> select(f|f.oclIsTypeOf(TrgAttribute)) -> exists(f | f.name = prop.name))))))"
"Buggy Rule","Rule","Mountford","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Kulcynski2","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Zoltar","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Ochiai","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking"
"0","WeakReferences","0.07692307692307693","6","6","0.6071428571428571","6","0.5666666666666667","6","0.40476190476190477","6","0.5517241379310345","8","8","0.6071428571428571","8","0.5666666666666667","8","0.40476190476190477","8","0.10344827586206896","8","8","0.6071428571428571","8","0.5666666666666667","8","0.40476190476190477","8","0.3216337604513384","8","8","0.6071428571428571","8","0.5666666666666667","8","0.40476190476190477","8"
"0","References","0.08695652173913043","4","4","0.6071428571428571","4","0.7083333333333334","4","0.4722222222222222","4","0.603448275862069","6","6","0.6071428571428571","6","0.7083333333333334","6","0.4722222222222222","6","0.20689655172413793","6","6","0.6071428571428571","6","0.7083333333333334","6","0.4722222222222222","6","0.454858826147342","6","6","0.6071428571428571","6","0.7083333333333334","6","0.4722222222222222","6"
"0","Attributes","0.125","2","2","0.7142857142857143","2","0.7692307692307693","3","0.5882352941176471","2","0.7241379310344828","2","2","0.7142857142857143","2","0.7692307692307693","3","0.5882352941176471","2","0.4482758620689655","2","2","0.7142857142857143","2","0.7692307692307693","3","0.5882352941176471","2","0.6695340634119862","2","2","0.7142857142857143","2","0.7692307692307693","3","0.5882352941176471","2"
"1","Class","1.0","1","1","0.42857142857142855","1","0.75","1","0.375","1","1.0","1","1","0.42857142857142855","1","0.75","1","0.375","1","1.0","1","1","0.42857142857142855","1","0.75","1","0.375","1","1.0","1","1","0.42857142857142855","1","0.75","1","0.375","1"
"1","Package","0.028169014084507043","7","7","0.2857142857142857","7","0.5","8","0.2222222222222222","8","0.645","4","4","0.2857142857142857","4","0.5","5","0.2222222222222222","5","0.29","4","4","0.2857142857142857","4","0.5","5","0.2222222222222222","5","0.5385164807134504","4","4","0.2857142857142857","4","0.5","5","0.2222222222222222","5"
"0","NamedElement","0.028169014084507043","7","7","0.2857142857142857","7","1.0","7","0.2857142857142857","7","0.645","4","4","0.2857142857142857","4","1.0","4","0.2857142857142857","4","0.29","4","4","0.2857142857142857","4","1.0","4","0.2857142857142857","4","0.5385164807134504","4","4","0.2857142857142857","4","1.0","4","0.2857142857142857","4"
"0","Property","0.125","2","2","0.5357142857142857","3","0.9375","2","0.5","3","0.7241379310344828","2","2","0.5357142857142857","3","0.9375","2","0.5","3","0.4482758620689655","2","2","0.5357142857142857","3","0.9375","2","0.5","3","0.6695340634119862","2","2","0.5357142857142857","3","0.9375","2","0.5","3"
"0","StrongReferences","0.08","5","5","0.6071428571428571","5","0.5666666666666667","5","0.40476190476190477","5","0.5689655172413793","7","7","0.6071428571428571","7","0.5666666666666667","7","0.40476190476190477","7","0.13793103448275862","7","7","0.6071428571428571","7","0.5666666666666667","7","0.40476190476190477","7","0.3713906763541037","7","7","0.6071428571428571","7","0.5666666666666667","7","0.40476190476190477","7"
" ","EXAM-BC"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"
" ","EXAM-WC"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"
" ","EXAM-AVG"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"
"OCL9","SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name and p.ownedElements->forAll(class | e.entities->exists(entity | entity.name = class.name and class.ownedProperty->forAll(prop | (not prop.complexType.oclIsUndefined() and not prop.isContainment) implies entity.features-> select(f|f.oclIsTypeOf(TrgWeakReference)) -> exists(f | f.name = prop.name))))))"
"Buggy Rule","Rule","Mountford","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Kulcynski2","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Zoltar","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Ochiai","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking"
